key,operator,year,private,state,regulated,fare_income_million,other_income_million,total_income,staff_costs_millions,diesel_costs_millions,rolling_stock_costs,other_costs,total_costs,subsidy,net_total,ftee,avg_staff_cost_per_staff,passenger_km_billions,passenger_journeys_millions,train_km_millions,route_km,vehicle_km_millions,LEN,stations_managed,age_rollingstock,mean_routekm,mean_trainkm_millions,mean_vehiclekm_millions,mean_avgstaffcost,mean_passkm_million,mean_agers,mean_tc,mean_LEN,ROUTE,TDEN,TLEN,logtc,INP,TDEN2,STATI2,TLEN2,TIME,TIME2,DENSTATI,TDENLEN,STATILN,LFAC,LNAGE,efficiencyu_score,efficiency_score,frontier_output,bigT,yearT,covid
9,Great_Western,2016,0,0,1,1207.3,92.42,1299.72,423.36,74.26,98.78,480.59,1076.99,-172.18,50.55,6105,69345.79,6.01,104.91,43.31,1997,265.69,6,207,30.06,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,42849,0,2,4,908,0,33,0,0,0,0,0,2023,-7,0
9,Great_Western,2017,0,0,1,1200.11,97.01,1297.12,423.94,79.33,163.45,545.3,1212.01,-39.29,45.83,6057,69991.34,5.99,103.67,43.12,1997,265.14,6,196,22.56,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,38416,0,3,9,646,0,118,0,0,0,0,0,2023,-6,0
9,Great_Western,2018,0,0,1,1216.26,100.55,1316.82,426.33,64.38,454.77,538.14,1483.63,221.42,54.6,6343,67213.4,6,100.07,41.66,1997,272.57,7,196,14.62,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,38416,0,4,16,-680,0,2507,0,0,0,0,0,2023,-5,0
9,Great_Western,2019,0,0,1,1227.51,158.02,1385.53,445.99,57.19,575.52,634.71,1713.4,381.92,54.04,6452,69122.96,5.97,97.04,45.19,1997,284.55,6,197,11.9,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,38809,0,5,25,2468,0,1047,0,0,0,0,0,2023,-4,0
9,Great_Western,2020,0,0,1,200.53,117.97,318.5,427.48,32.66,598.78,537.38,1596.31,1317.58,39.78,6408,66708.16,1.11,17.94,35.95,1997,215.1,6,194,13.87,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,37636,0,6,36,-6219,0,-904,-1,0,0,0,0,2023,-3,1
9,Great_Western,2021,0,0,1,669.44,138.37,807.8,430.25,53.93,571.9,532.78,1588.86,811.69,30.64,6230,69061.25,3.8,55.14,42.37,1997,253.09,6,194,13.91,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,37636,0,7,49,-33,0,-967,0,0,0,0,0,2023,-2,0
9,Great_Western,2022,0,0,1,955.64,52.21,1007.86,373.35,77.51,546.72,441.16,1438.74,445.23,14.35,6185,60364.53,5.37,77.18,42.54,1997,259.62,6,194,14.94,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,37636,0,8,64,118,0,-160,0,0,0,0,0,2023,-1,0
9,Great_Western,2023,0,0,1,1039.52,89.61,1129.13,402.09,59.05,529.74,454.97,1445.85,336.28,19.57,6215,64696.26,5.84,82.61,44.5,1997,261.73,6,194,14.99,1997,42,260,67568,5,19,1409,6,0,0,0,0,0,0,37636,0,9,81,1821,0,-1554,0,0,0,0,0,2023,0,0
10,London_Overground,2015,0,0,1,283.46,22.97,306.43,123.25,0.76,36.78,256.36,417.15,124.67,13.95,1466,84069.41,1.24,183.16,8.08,167,43.89,5,81,13.7,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,1,1,-1052,0,503,0,0,0,0,0,2023,-8,0
10,London_Overground,2016,0,0,1,288.72,22.76,311.48,125.25,0.36,38.82,264.81,429.24,126.93,9.16,1413,88644.22,1.29,188.78,7.93,167,48.12,6,81,14.7,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,2,4,-1174,0,1231,0,0,0,0,0,2023,-7,0
